ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
211	indv	10-rc	left	dlh2	classification	_smote	randomforest	True	500	None
212	indv	10-rc	left	dlh2	classification	_smote	randomforest	True	1000	None
213	indv	10-rc	left	dlh2	classification	_smote	lr	True	100	None
214	indv	10-rc	left	dlh2	classification	_smote	lr	True	200	None
215	indv	10-rc	left	dlh2	classification	_smote	lr	True	500	None
216	indv	10-rc	left	dlh2	classification	_smote	lr	True	1000	None
217	indv	12-mb	left	dlh0	classification	_None	randomforest	True	100	None
218	indv	12-mb	left	dlh0	classification	_None	randomforest	True	200	None
219	indv	12-mb	left	dlh0	classification	_None	randomforest	True	500	None
220	indv	12-mb	left	dlh0	classification	_None	randomforest	True	1000	None
221	indv	12-mb	left	dlh0	classification	_None	lr	True	100	None
222	indv	12-mb	left	dlh0	classification	_None	lr	True	200	None
223	indv	12-mb	left	dlh0	classification	_None	lr	True	500	None
224	indv	12-mb	left	dlh0	classification	_None	lr	True	1000	None
225	indv	12-mb	left	dlh0	classification	_downsample	randomforest	True	100	None
226	indv	12-mb	left	dlh0	classification	_downsample	randomforest	True	200	None
227	indv	12-mb	left	dlh0	classification	_downsample	randomforest	True	500	None
228	indv	12-mb	left	dlh0	classification	_downsample	randomforest	True	1000	None
229	indv	12-mb	left	dlh0	classification	_downsample	lr	True	100	None
230	indv	12-mb	left	dlh0	classification	_downsample	lr	True	200	None
231	indv	12-mb	left	dlh0	classification	_downsample	lr	True	500	None
232	indv	12-mb	left	dlh0	classification	_downsample	lr	True	1000	None
233	indv	12-mb	left	dlh0	classification	_smote	randomforest	True	100	None
234	indv	12-mb	left	dlh0	classification	_smote	randomforest	True	200	None
235	indv	12-mb	left	dlh0	classification	_smote	randomforest	True	500	None
236	indv	12-mb	left	dlh0	classification	_smote	randomforest	True	1000	None
237	indv	12-mb	left	dlh0	classification	_smote	lr	True	100	None
238	indv	12-mb	left	dlh0	classification	_smote	lr	True	200	None
239	indv	12-mb	left	dlh0	classification	_smote	lr	True	500	None
240	indv	12-mb	left	dlh0	classification	_smote	lr	True	1000	None
241	indv	12-mb	left	dlh1	classification	_None	randomforest	True	100	None
242	indv	12-mb	left	dlh1	classification	_None	randomforest	True	200	None
243	indv	12-mb	left	dlh1	classification	_None	randomforest	True	500	None
244	indv	12-mb	left	dlh1	classification	_None	randomforest	True	1000	None
245	indv	12-mb	left	dlh1	classification	_None	lr	True	100	None
246	indv	12-mb	left	dlh1	classification	_None	lr	True	200	None
247	indv	12-mb	left	dlh1	classification	_None	lr	True	500	None
248	indv	12-mb	left	dlh1	classification	_None	lr	True	1000	None
249	indv	12-mb	left	dlh1	classification	_downsample	randomforest	True	100	None
250	indv	12-mb	left	dlh1	classification	_downsample	randomforest	True	200	None
251	indv	12-mb	left	dlh1	classification	_downsample	randomforest	True	500	None
252	indv	12-mb	left	dlh1	classification	_downsample	randomforest	True	1000	None
253	indv	12-mb	left	dlh1	classification	_downsample	lr	True	100	None
254	indv	12-mb	left	dlh1	classification	_downsample	lr	True	200	None
255	indv	12-mb	left	dlh1	classification	_downsample	lr	True	500	None
256	indv	12-mb	left	dlh1	classification	_downsample	lr	True	1000	None
257	indv	12-mb	left	dlh1	classification	_smote	randomforest	True	100	None
258	indv	12-mb	left	dlh1	classification	_smote	randomforest	True	200	None
259	indv	12-mb	left	dlh1	classification	_smote	randomforest	True	500	None
260	indv	12-mb	left	dlh1	classification	_smote	randomforest	True	1000	None
261	indv	12-mb	left	dlh1	classification	_smote	lr	True	100	None
262	indv	12-mb	left	dlh1	classification	_smote	lr	True	200	None
263	indv	12-mb	left	dlh1	classification	_smote	lr	True	500	None
264	indv	12-mb	left	dlh1	classification	_smote	lr	True	1000	None
265	indv	12-mb	left	dlh2	classification	_None	randomforest	True	100	None
266	indv	12-mb	left	dlh2	classification	_None	randomforest	True	200	None
267	indv	12-mb	left	dlh2	classification	_None	randomforest	True	500	None
268	indv	12-mb	left	dlh2	classification	_None	randomforest	True	1000	None
269	indv	12-mb	left	dlh2	classification	_None	lr	True	100	None
270	indv	12-mb	left	dlh2	classification	_None	lr	True	200	None
271	indv	12-mb	left	dlh2	classification	_None	lr	True	500	None
272	indv	12-mb	left	dlh2	classification	_None	lr	True	1000	None
