ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
281	indv	32-rf	left	dlh1	classification	_None	ann	True	1000	None
282	indv	32-rf	left	dlh1	classification	_None	simplernn	True	1000	None
283	indv	32-rf	left	dlh1	classification	_downsample	lstm	True	1000	None
284	indv	32-rf	left	dlh1	classification	_downsample	ann	True	1000	None
285	indv	32-rf	left	dlh1	classification	_downsample	simplernn	True	1000	None
286	indv	32-rf	left	dlh1	classification	_smote	lstm	True	1000	None
287	indv	32-rf	left	dlh1	classification	_smote	ann	True	1000	None
288	indv	32-rf	left	dlh1	classification	_smote	simplernn	True	1000	None
289	indv	32-rf	left	dlh2	classification	_None	lstm	True	1000	None
290	indv	32-rf	left	dlh2	classification	_None	ann	True	1000	None
291	indv	32-rf	left	dlh2	classification	_None	simplernn	True	1000	None
292	indv	32-rf	left	dlh2	classification	_downsample	lstm	True	1000	None
293	indv	32-rf	left	dlh2	classification	_downsample	ann	True	1000	None
294	indv	32-rf	left	dlh2	classification	_downsample	simplernn	True	1000	None
295	indv	32-rf	left	dlh2	classification	_smote	lstm	True	1000	None
296	indv	32-rf	left	dlh2	classification	_smote	ann	True	1000	None
297	indv	32-rf	left	dlh2	classification	_smote	simplernn	True	1000	None
298	indv	36-af	left	dlh0	classification	_None	lstm	True	1000	None
299	indv	36-af	left	dlh0	classification	_None	ann	True	1000	None
300	indv	36-af	left	dlh0	classification	_None	simplernn	True	1000	None
301	indv	36-af	left	dlh0	classification	_downsample	lstm	True	1000	None
302	indv	36-af	left	dlh0	classification	_downsample	ann	True	1000	None
303	indv	36-af	left	dlh0	classification	_downsample	simplernn	True	1000	None
304	indv	36-af	left	dlh0	classification	_smote	lstm	True	1000	None
305	indv	36-af	left	dlh0	classification	_smote	ann	True	1000	None
306	indv	36-af	left	dlh0	classification	_smote	simplernn	True	1000	None
307	indv	36-af	left	dlh1	classification	_None	lstm	True	1000	None
308	indv	36-af	left	dlh1	classification	_None	ann	True	1000	None
309	indv	36-af	left	dlh1	classification	_None	simplernn	True	1000	None
310	indv	36-af	left	dlh1	classification	_downsample	lstm	True	1000	None
311	indv	36-af	left	dlh1	classification	_downsample	ann	True	1000	None
312	indv	36-af	left	dlh1	classification	_downsample	simplernn	True	1000	None
313	indv	36-af	left	dlh1	classification	_smote	lstm	True	1000	None
314	indv	36-af	left	dlh1	classification	_smote	ann	True	1000	None
315	indv	36-af	left	dlh1	classification	_smote	simplernn	True	1000	None
316	indv	36-af	left	dlh2	classification	_None	lstm	True	1000	None
317	indv	36-af	left	dlh2	classification	_None	ann	True	1000	None
318	indv	36-af	left	dlh2	classification	_None	simplernn	True	1000	None
319	indv	36-af	left	dlh2	classification	_downsample	lstm	True	1000	None
320	indv	36-af	left	dlh2	classification	_downsample	ann	True	1000	None
321	indv	36-af	left	dlh2	classification	_downsample	simplernn	True	1000	None
322	indv	36-af	left	dlh2	classification	_smote	lstm	True	1000	None
323	indv	36-af	left	dlh2	classification	_smote	ann	True	1000	None
324	indv	36-af	left	dlh2	classification	_smote	simplernn	True	1000	None
325	indv	38-cs	left	dlh0	classification	_None	lstm	True	1000	None
326	indv	38-cs	left	dlh0	classification	_None	ann	True	1000	None
327	indv	38-cs	left	dlh0	classification	_None	simplernn	True	1000	None
328	indv	38-cs	left	dlh0	classification	_downsample	lstm	True	1000	None
329	indv	38-cs	left	dlh0	classification	_downsample	ann	True	1000	None
330	indv	38-cs	left	dlh0	classification	_downsample	simplernn	True	1000	None
331	indv	38-cs	left	dlh0	classification	_smote	lstm	True	1000	None
332	indv	38-cs	left	dlh0	classification	_smote	ann	True	1000	None
333	indv	38-cs	left	dlh0	classification	_smote	simplernn	True	1000	None
334	indv	38-cs	left	dlh1	classification	_None	lstm	True	1000	None
335	indv	38-cs	left	dlh1	classification	_None	ann	True	1000	None
336	indv	38-cs	left	dlh1	classification	_None	simplernn	True	1000	None
337	indv	38-cs	left	dlh1	classification	_downsample	lstm	True	1000	None
338	indv	38-cs	left	dlh1	classification	_downsample	ann	True	1000	None
339	indv	38-cs	left	dlh1	classification	_downsample	simplernn	True	1000	None
340	indv	38-cs	left	dlh1	classification	_smote	lstm	True	1000	None
341	indv	38-cs	left	dlh1	classification	_smote	ann	True	1000	None
342	indv	38-cs	left	dlh1	classification	_smote	simplernn	True	1000	None
343	indv	38-cs	left	dlh2	classification	_None	lstm	True	1000	None
344	indv	38-cs	left	dlh2	classification	_None	ann	True	1000	None
345	indv	38-cs	left	dlh2	classification	_None	simplernn	True	1000	None
346	indv	38-cs	left	dlh2	classification	_downsample	lstm	True	1000	None
347	indv	38-cs	left	dlh2	classification	_downsample	ann	True	1000	None
348	indv	38-cs	left	dlh2	classification	_downsample	simplernn	True	1000	None
349	indv	38-cs	left	dlh2	classification	_smote	lstm	True	1000	None
350	indv	38-cs	left	dlh2	classification	_smote	ann	True	1000	None
351	indv	38-cs	left	dlh2	classification	_smote	simplernn	True	1000	None
352	indv	39-dg	left	dlh0	classification	_None	lstm	True	1000	None
353	indv	39-dg	left	dlh0	classification	_None	ann	True	1000	None
354	indv	39-dg	left	dlh0	classification	_None	simplernn	True	1000	None
355	indv	39-dg	left	dlh0	classification	_downsample	lstm	True	1000	None
356	indv	39-dg	left	dlh0	classification	_downsample	ann	True	1000	None
357	indv	39-dg	left	dlh0	classification	_downsample	simplernn	True	1000	None
358	indv	39-dg	left	dlh0	classification	_smote	lstm	True	1000	None
359	indv	39-dg	left	dlh0	classification	_smote	ann	True	1000	None
360	indv	39-dg	left	dlh0	classification	_smote	simplernn	True	1000	None
361	indv	39-dg	left	dlh1	classification	_None	lstm	True	1000	None
362	indv	39-dg	left	dlh1	classification	_None	ann	True	1000	None
363	indv	39-dg	left	dlh1	classification	_None	simplernn	True	1000	None
364	indv	39-dg	left	dlh1	classification	_downsample	lstm	True	1000	None
365	indv	39-dg	left	dlh1	classification	_downsample	ann	True	1000	None
366	indv	39-dg	left	dlh1	classification	_downsample	simplernn	True	1000	None
367	indv	39-dg	left	dlh1	classification	_smote	lstm	True	1000	None
368	indv	39-dg	left	dlh1	classification	_smote	ann	True	1000	None
369	indv	39-dg	left	dlh1	classification	_smote	simplernn	True	1000	None
370	indv	39-dg	left	dlh2	classification	_None	lstm	True	1000	None
371	indv	39-dg	left	dlh2	classification	_None	ann	True	1000	None
372	indv	39-dg	left	dlh2	classification	_None	simplernn	True	1000	None
373	indv	39-dg	left	dlh2	classification	_downsample	lstm	True	1000	None
374	indv	39-dg	left	dlh2	classification	_downsample	ann	True	1000	None
375	indv	39-dg	left	dlh2	classification	_downsample	simplernn	True	1000	None
376	indv	39-dg	left	dlh2	classification	_smote	lstm	True	1000	None
377	indv	39-dg	left	dlh2	classification	_smote	ann	True	1000	None
378	indv	39-dg	left	dlh2	classification	_smote	simplernn	True	1000	None
379	indv	4-rs	left	dlh0	classification	_None	lstm	True	1000	None
380	indv	4-rs	left	dlh0	classification	_None	ann	True	1000	None
381	indv	4-rs	left	dlh0	classification	_None	simplernn	True	1000	None
382	indv	4-rs	left	dlh0	classification	_downsample	lstm	True	1000	None
383	indv	4-rs	left	dlh0	classification	_downsample	ann	True	1000	None
384	indv	4-rs	left	dlh0	classification	_downsample	simplernn	True	1000	None
385	indv	4-rs	left	dlh0	classification	_smote	lstm	True	1000	None
386	indv	4-rs	left	dlh0	classification	_smote	ann	True	1000	None
387	indv	4-rs	left	dlh0	classification	_smote	simplernn	True	1000	None
388	indv	4-rs	left	dlh1	classification	_None	lstm	True	1000	None
389	indv	4-rs	left	dlh1	classification	_None	ann	True	1000	None
390	indv	4-rs	left	dlh1	classification	_None	simplernn	True	1000	None
391	indv	4-rs	left	dlh1	classification	_downsample	lstm	True	1000	None
392	indv	4-rs	left	dlh1	classification	_downsample	ann	True	1000	None
393	indv	4-rs	left	dlh1	classification	_downsample	simplernn	True	1000	None
394	indv	4-rs	left	dlh1	classification	_smote	lstm	True	1000	None
395	indv	4-rs	left	dlh1	classification	_smote	ann	True	1000	None
