ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
287	indv	36-af	left	dlh1	classification	_downsample	lr	True	1000	None
288	indv	36-af	left	dlh1	classification	_downsample	sgd	True	1000	None
289	indv	36-af	left	dlh2	classification	_smote	randomforest	True	1000	None
290	indv	36-af	left	dlh2	classification	_smote	lr	True	1000	None
291	indv	36-af	left	dlh2	classification	_smote	sgd	True	1000	None
292	indv	36-af	left	dlh2	classification	_None	randomforest	True	1000	None
293	indv	36-af	left	dlh2	classification	_None	lr	True	1000	None
294	indv	36-af	left	dlh2	classification	_None	sgd	True	1000	None
295	indv	36-af	left	dlh2	classification	_downsample	randomforest	True	1000	None
296	indv	36-af	left	dlh2	classification	_downsample	lr	True	1000	None
297	indv	36-af	left	dlh2	classification	_downsample	sgd	True	1000	None
298	indv	38-cs	left	dlh0	classification	_smote	randomforest	True	1000	None
299	indv	38-cs	left	dlh0	classification	_smote	lr	True	1000	None
300	indv	38-cs	left	dlh0	classification	_smote	sgd	True	1000	None
301	indv	38-cs	left	dlh0	classification	_None	randomforest	True	1000	None
302	indv	38-cs	left	dlh0	classification	_None	lr	True	1000	None
303	indv	38-cs	left	dlh0	classification	_None	sgd	True	1000	None
304	indv	38-cs	left	dlh0	classification	_downsample	randomforest	True	1000	None
305	indv	38-cs	left	dlh0	classification	_downsample	lr	True	1000	None
306	indv	38-cs	left	dlh0	classification	_downsample	sgd	True	1000	None
307	indv	38-cs	left	dlh1	classification	_smote	randomforest	True	1000	None
308	indv	38-cs	left	dlh1	classification	_smote	lr	True	1000	None
309	indv	38-cs	left	dlh1	classification	_smote	sgd	True	1000	None
310	indv	38-cs	left	dlh1	classification	_None	randomforest	True	1000	None
311	indv	38-cs	left	dlh1	classification	_None	lr	True	1000	None
312	indv	38-cs	left	dlh1	classification	_None	sgd	True	1000	None
313	indv	38-cs	left	dlh1	classification	_downsample	randomforest	True	1000	None
314	indv	38-cs	left	dlh1	classification	_downsample	lr	True	1000	None
315	indv	38-cs	left	dlh1	classification	_downsample	sgd	True	1000	None
316	indv	38-cs	left	dlh2	classification	_smote	randomforest	True	1000	None
317	indv	38-cs	left	dlh2	classification	_smote	lr	True	1000	None
318	indv	38-cs	left	dlh2	classification	_smote	sgd	True	1000	None
319	indv	38-cs	left	dlh2	classification	_None	randomforest	True	1000	None
320	indv	38-cs	left	dlh2	classification	_None	lr	True	1000	None
321	indv	38-cs	left	dlh2	classification	_None	sgd	True	1000	None
322	indv	38-cs	left	dlh2	classification	_downsample	randomforest	True	1000	None
323	indv	38-cs	left	dlh2	classification	_downsample	lr	True	1000	None
324	indv	38-cs	left	dlh2	classification	_downsample	sgd	True	1000	None
325	indv	39-dg	left	dlh0	classification	_smote	randomforest	True	1000	None
326	indv	39-dg	left	dlh0	classification	_smote	lr	True	1000	None
327	indv	39-dg	left	dlh0	classification	_smote	sgd	True	1000	None
328	indv	39-dg	left	dlh0	classification	_None	randomforest	True	1000	None
329	indv	39-dg	left	dlh0	classification	_None	lr	True	1000	None
330	indv	39-dg	left	dlh0	classification	_None	sgd	True	1000	None
331	indv	39-dg	left	dlh0	classification	_downsample	randomforest	True	1000	None
332	indv	39-dg	left	dlh0	classification	_downsample	lr	True	1000	None
333	indv	39-dg	left	dlh0	classification	_downsample	sgd	True	1000	None
334	indv	39-dg	left	dlh1	classification	_smote	randomforest	True	1000	None
335	indv	39-dg	left	dlh1	classification	_smote	lr	True	1000	None
336	indv	39-dg	left	dlh1	classification	_smote	sgd	True	1000	None
337	indv	39-dg	left	dlh1	classification	_None	randomforest	True	1000	None
338	indv	39-dg	left	dlh1	classification	_None	lr	True	1000	None
339	indv	39-dg	left	dlh1	classification	_None	sgd	True	1000	None
340	indv	39-dg	left	dlh1	classification	_downsample	randomforest	True	1000	None
341	indv	39-dg	left	dlh1	classification	_downsample	lr	True	1000	None
342	indv	39-dg	left	dlh1	classification	_downsample	sgd	True	1000	None
343	indv	39-dg	left	dlh2	classification	_smote	randomforest	True	1000	None
344	indv	39-dg	left	dlh2	classification	_smote	lr	True	1000	None
345	indv	39-dg	left	dlh2	classification	_smote	sgd	True	1000	None
346	indv	39-dg	left	dlh2	classification	_None	randomforest	True	1000	None
